time,rss,heapTotal,heapUsed
1,44.55078125,9.1484375,6.7126007080078125
2,44.55078125,9.1484375,6.818733215332031
3,52.8359375,21.6484375,13.270164489746094
4,78.87890625,47.0625,13.820907592773438
5,79.69140625,47.8125,20.939071655273438
6,80.765625,49.3125,29.831695556640625
7,81.546875,49.5625,19.615692138671875
8,80.125,47.8125,23.531173706054688
9,80.88671875,49.3125,28.008071899414062
10,79.98828125,47.8125,17.20470428466797
11,81.10546875,49.0625,26.27709197998047
12,80.00390625,48.0625,19.342056274414062
13,81.76953125,49.3125,29.401718139648438
14,81.2265625,49.5625,19.18255615234375
15,79.92578125,47.8125,17.862045288085938
16,80.26171875,48.0625,8.914222717285156
17,80.73046875,49.0625,27.47309112548828
18,80.421875,47.8125,12.562896728515625
19,81.19140625,49.3125,27.50446319580078
20,80.09765625,47.8125,10.79229736328125
21,80.8203125,48.5625,19.869606018066406
22,80.8203125,48.5625,19.903160095214844
23,80.8203125,48.5625,20.556602478027344
