time,rss,heapTotal,heapUsed
1,52.515625,13.6484375,11.412918090820312
2,52.7265625,13.6484375,11.527557373046875
3,59.42578125,19.1484375,15.711189270019531
4,88.3359375,53.3984375,26.480087280273438
5,89.6328125,54.3984375,31.148117065429688
6,90.34765625,55.3984375,21.69585418701172
7,86.1953125,51.1484375,28.488739013671875
8,89.98046875,54.3984375,16.869674682617188
9,89.34375,54.6484375,26.241981506347656
10,90.49609375,55.3984375,30.403762817382812
11,91.484375,56.1484375,26.870147705078125
12,92.32421875,56.3984375,23.922218322753906
13,93.0703125,57.1484375,26.847450256347656
14,91.66796875,53.6484375,27.47449493408203
15,92.72265625,54.8984375,28.779525756835938
16,93.765625,55.6484375,36.33001708984375
17,94.484375,56.1484375,22.854721069335938
18,94.8125,56.3984375,33.967987060546875
19,95.47265625,57.1484375,30.420616149902344
20,95.30078125,56.8984375,29.2586669921875
21,95.30078125,56.8984375,24.311325073242188
22,95.30078125,56.8984375,24.32892608642578
23,95.30078125,56.8984375,24.43830108642578
